internalLeak,idle,disturb
0.0,0.8689,0.8674000000000001
0.005,0.8677999999999999,0.8663
0.01,0.8667,0.8662000000000001
0.02,0.8644,0.8641
0.03,0.862,0.8618
0.05,0.8572,0.8571
0.075,0.8509,0.8509
0.1,0.8446,0.8446
0.15,0.831,0.831
0.2,0.8161999999999999,0.8161999999999999
0.3,-0.0131,0.7819999999999999
0.4,-0.02310000000000001,0.7415
0.5,-0.03539999999999999,0.7005999999999999
0.7,-0.05020000000000002,-0.17699999999999994
1.0,-0.04239999999999999,-0.04279999999999995
