leak\gateThreshold,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0.005,0.8848,0.8849,0.8849,0.8849,0.8849,0.8849,0.8849
0.0125,0.8772,0.8788,0.8787,0.8787,0.8787,0.8787,0.8787
0.025,-0.0002,0.8657,0.8689,0.8688,0.8688,0.8688,0.8688
0.05,0.0049,-0.0008,-0.0004,0.8470,0.8503,0.8501,0.8500
0.075,0.0029,0.0029,-0.0016,-0.0004,-0.0002,0.8330,0.8327
0.1,0.0018,0.0018,0.0017,-0.0020,-0.0004,-0.0003,0.8158
